init, bathrooms,bedrooms,livingArea,lotSize
1,3,4,3188,55000
1,2.5,4,2252,48787
1,3,4,1988,-1
1,3,4,2048,-1
1,2,5,2598,95832
1,3,4,2900,82328
1,2,4,2750,30000
1,2,4,2250,44431
1,2,4,1804,10454
1,2.5,4,1768,5662
1,5,4,4181,30056
1,2.5,4,2900,49658
1,3,4,2897,15246
1,2,5,1753,14810
1,3.5,4,3667,20037
1,2,4,1344,8276
1,3.5,4,3452,70131
1,6,9,61200,-1
1,3.5,4,3752,54014
1,3,4,3786,32631
1,3,4,4125,77376
1,2.5,4,3030,30056
1,3,4,3372,50529
1,2.5,4,2229,30056
1,3,4,2614,36154
1,2.5,4,2875,22651
1,3,4,2036,10454
1,2,5,1833,13504
1,3,4,3740,98010
1,3,5,3800,40199
1,2,4,1695,11325
1,3,4,2475,40510
1,2,4,1901,14374
1,3.5,4,4027,24393
1,2.5,4,3164,32670
1,4.5,4,6000,44866
1,2.5,4,2264,75794
1,3,4,2200,4791
1,3.5,4,2980,54886
1,3.5,5,3610,65340
1,2,4,1500,16552
1,3,4,2252,141134
1,2,6,2352,9600
1,5,5,3247,15246
1,2,4,1507,16534
1,2.5,4,2172,69260
1,2.5,5,2990,51400
1,5,5,7000,35719
1,2.5,4,1821,20908
1,3,4,3100,30106
1,3,6,3200,6098
1,2,4,1374,6969
1,3,4,3176,23958
1,2,4,1441,20037
1,2.5,4,2232,43560
1,3,4,2360,40075
1,3,5,4400,38332
1,3,4,3146,18907
1,2,4,1782,6534
1,3,4,2578,25822
1,2,4,1488,10018
1,2,4,2756,12632
1,2.5,4,2000,13634
1,3,4,2517,47916
1,3,4,2478,40075
1,2,4,2032,37026
1,2,4,1506,21235
1,3,4,2520,-1
1,3,4,2530,15681
1,3,6,2692,7840
1,2.5,4,2564,30013
1,2.5,4,2700,55756
1,2.5,4,2016,23086
1,2.5,4,2904,24829
1,4,5,3908,49222
1,2.5,4,2883,70131
1,2,5,2120,10890
1,3,5,4000,90500
1,2,4,1925,30056
1,2.5,4,2212,60810
1,2,4,2542,30056
1,3.5,4,4000,46173
1,2,5,3200,28313
1,3,4,2556,16117
1,2,4,1815,121532
1,3.5,5,3148,29602
1,2,4,1729,30056
1,2,4,1470,7840
1,2.5,4,2898,52707
1,2,4,1470,9147
1,4.5,4,5167,50530
1,3,4,2861,46609
1,2.5,4,3160,49222
1,2,4,1700,24393
1,3,4,2208,39639
1,2,5,2300,20037
1,3,4,2880,21213
1,3,4,1884,-1
1,4,4,3640,30056
1,2,4,1822,35283
1,2,4,1900,12196
1,2,4,2512,40089
1,3,4,2960,64033
1,3,4,1872,40075
1,2,4,1794,23958
1,2,4,2680,20602
1,2.5,4,2482,20037
1,2,4,2700,16552
1,2,4,1660,7405
1,4,4,2636,50094
1,3.5,5,3472,58370
1,3,4,1694,8712
1,3,4,2150,30097
1,3,4,2266,41908
1,2,4,2971,99752
1,4,5,3133,20037
1,3,5,4212,44431
1,2,4,1666,9147
1,3,4,2035,30492
1,3,4,2624,60112
1,2,4,1473,28749
1,4,4,2924,11282
1,2.5,4,2896,10890
1,3,4,2254,60548
1,2.5,4,2600,111078
1,3,4,2626,43560
1,3,4,2540,44257
1,2,4,1745,18295
1,3,4,2796,71438
1,3,5,2124,9932
1,3,4,3984,44866
1,3,4,2920,61419
1,4,4,5322,43995
1,4,4,4134,20037
1,2,4,1488,20473
1,2,4,1962,3006
1,4,4,2332,33541
1,3,4,2200,11674
1,2,4,1536,22215
1,2.5,4,2492,46173
1,3,4,2464,60112
1,2,4,1488,15000
1,2.5,4,3634,30056
1,2,4,2914,111949
1,2.5,4,2566,31798
1,2,4,1502,14810
1,3,5,2579,44866
1,3,4,2636,91040
1,2,4,1382,20037
1,2.5,4,3800,14810
1,3,4,2946,73616
1,2.5,4,4383,52707
1,2.5,4,1876,20037
